Year,Month,Day,Rain,Tmax,Tmin,Height,Predicted_Growth
2016,2,27,0.2,32.5,16.9,1170,0.2984587569356931
2016,2,28,0.0,28.8,18.2,1170,0.28225403941050314
2016,2,29,0.0,31.8,17.9,1170,0.31458129930314876
2016,3,1,0.8,33.2,16.5,1170,0.282293841665895
2016,3,2,0.2,35.9,15.7,1170,0.23133997161221762
2016,3,3,0.0,34.7,16.6,1170,0.25892403943404385
2016,3,4,0.0,35.2,18.1,1170,0.2548550564742462
2016,3,5,0.0,35.0,17.7,1170,0.2485445762595355
2016,3,6,0.0,34.7,18.3,1170,0.26690632765797384
2016,3,7,0.0,35.8,16.7,1170,0.22410824855918918
2016,3,8,3.6,28.7,19.8,1170,0.2959759886571278
2016,3,9,64.8,28.2,18.7,1170,0.4340618352717664
2016,3,10,16.8,29.8,18.6,1170,0.5054343209107379
2016,3,11,1.4,31.5,19.3,1170,0.5445090101564305
2016,3,12,0.0,29.4,19.5,1170,0.5363944903334766
2016,3,13,0.0,31.9,19.5,1170,0.5497366090263806
2016,3,14,0.4,28.0,18.8,1170,0.5179864112346919
2016,3,15,0.2,30.4,18.6,1170,0.5069164678266403
2016,3,16,39.6,30.3,18.2,1170,0.43552008397690584
2016,3,17,33.2,21.6,19.0,1170,0.3705575696158784
2016,3,18,0.2,30.8,18.9,1170,0.48002669393078307
2016,3,19,0.0,34.0,18.1,1170,0.4742291798145752
2016,3,20,0.0,32.1,13.5,1170,0.4476541798192833
2016,3,21,0.0,32.2,12.6,1170,0.4476363832141409
2016,3,22,0.0,30.4,11.6,1170,0.4294194058386795
2016,3,23,0.0,27.9,17.1,1170,0.3196938131133296
2016,3,24,0.0,31.4,15.5,1170,0.2548003672191368
2016,3,25,0.0,30.8,13.0,1170,0.23213929378472511
2016,3,26,0.0,29.7,15.5,1170,0.2220511299416142
2016,3,27,0.0,31.6,14.0,1170,0.24393999999999985
2016,3,28,0.0,32.1,10.7,1170,0.24795999999999996
2016,3,29,0.0,32.9,7.2,1170,0.23617564971748725
2016,3,30,0.0,33.0,9.9,1170,0.2350021468923624
2016,3,31,0.0,33.1,11.4,1170,0.23404723163668875
2016,4,1,0.0,32.8,12.0,1170,0.23861774011206316
2016,4,2,0.0,34.2,14.6,1170,0.21736177965910167
2016,4,3,0.0,33.2,18.6,1170,0.28555841807609056
